_id,chromosome,strand,chrLeftPosition,chrRightPosition,bs_center,nearest_tss_pos,dist_bp_signed_oriented,dist_bp_abs
ECOLIBS000000831,NC_000913.3,-,3581022,3581044,3581033,3581016,-17,17
ECOLIBS000000832,NC_000913.3,+,3581023,3581045,3581034,3580965,69,69
ECOLIBS000000833,NC_000913.3,-,3587153,3587175,3587164,3586854,-310,310
ECOLIBS000000834,NC_000913.3,-,3592859,3592881,3592870,3592858,-12,12
ECOLIBS000000835,NC_000913.3,+,3597686,3597708,3597697,3597795,-98,98
ECOLIBS000000836,NC_000913.3,+,3600855,3600877,3600866,3601516,-650,650
ECOLIBS000000837,NC_000913.3,-,3645266,3645288,3645277,3645249,-28,28
ECOLIBS000000838,NC_000913.3,+,3647810,3647832,3647821,3647863,-42,42
ECOLIBS000000839,NC_000913.3,-,3675532,3675554,3675543,3676151,608,608
ECOLIBS000000840,NC_000913.3,-,3676164,3676186,3676175,3676151,-24,24
ECOLIBS000000841,NC_000913.3,-,3741008,3741030,3741019,3740986,-33,33
ECOLIBS000000842,NC_000913.3,-,3760560,3760582,3760571,3760747,176,176
ECOLIBS000000843,NC_000913.3,+,3793975,3793997,3793986,3793939,47,47
ECOLIBS000000844,NC_000913.3,-,3793980,3794002,3793991,3793864,-127,127
ECOLIBS000000845,NC_000913.3,+,3793981,3794003,3793992,3793939,53,53
ECOLIBS000000846,NC_000913.3,-,3823201,3823223,3823212,3822924,-288,288
ECOLIBS000000847,NC_000913.3,-,3823288,3823310,3823299,3822924,-375,375
ECOLIBS000000848,NC_000913.3,-,3853882,3853904,3853893,3853883,-10,10
ECOLIBS000000849,NC_000913.3,+,3891403,3891425,3891414,3891588,-174,174
ECOLIBS000000850,NC_000913.3,+,3919946,3919968,3919957,3920340,-383,383
ECOLIBS000000851,NC_000913.3,-,3937381,3937403,3937392,3937344,-48,48
ECOLIBS000000852,NC_000913.3,+,3938416,3938438,3938427,3938245,182,182
ECOLIBS000000853,NC_000913.3,+,3967185,3967207,3967196,3966725,471,471
ECOLIBS000000854,NC_000913.3,+,3982537,3982559,3982548,3982509,39,39
ECOLIBS000000855,NC_000913.3,+,4044895,4044917,4044906,4045425,-519,519
ECOLIBS000000856,NC_000913.3,+,4070677,4070699,4070688,4070539,149,149
ECOLIBS000000857,NC_000913.3,+,4078046,4078068,4078057,4078027,30,30
ECOLIBS000000858,NC_000913.3,-,4100708,4100730,4100719,4100804,85,85
ECOLIBS000000859,NC_000913.3,+,4100709,4100731,4100720,4100758,-38,38
ECOLIBS000000860,NC_000913.3,-,4100714,4100736,4100725,4100804,79,79
ECOLIBS000000861,NC_000913.3,+,4100715,4100737,4100726,4100758,-32,32
ECOLIBS000000862,NC_000913.3,+,4112326,4112348,4112337,4112345,-8,8
ECOLIBS000000863,NC_000913.3,+,4149642,4149664,4149653,4149662,-9,9
ECOLIBS000000864,NC_000913.3,-,4149735,4149757,4149746,4149649,-97,97
ECOLIBS000000865,NC_000913.3,+,4158394,4158416,4158405,4158456,-51,51
ECOLIBS000000866,NC_000913.3,-,4158419,4158441,4158430,4158395,-35,35
ECOLIBS000000867,NC_000913.3,+,4177211,4177233,4177222,4177213,9,9
ECOLIBS000000868,NC_000913.3,+,4177217,4177239,4177228,4177242,-14,14
ECOLIBS000000869,NC_000913.3,-,4198397,4198419,4198408,4198964,556,556
ECOLIBS000000870,NC_000913.3,+,4225013,4225035,4225024,4225594,-570,570
ECOLIBS000000871,NC_000913.3,-,4283640,4283662,4283651,4283640,-11,11
ECOLIBS000000872,NC_000913.3,+,4428325,4428347,4428336,4428812,-476,476
ECOLIBS000000873,NC_000913.3,-,4428336,4428358,4428347,4428742,395,395
ECOLIBS000000874,NC_000913.3,-,4430979,4431001,4430990,4431348,358,358
ECOLIBS000000875,NC_000913.3,-,4445204,4445226,4445215,4445002,-213,213
ECOLIBS000000876,NC_000913.3,-,4465092,4465114,4465103,4465098,-5,5
ECOLIBS000000877,NC_000913.3,+,4465093,4465115,4465104,4465971,-867,867
ECOLIBS000000878,NC_000913.3,-,4495170,4495192,4495181,4494876,-305,305
ECOLIBS000000879,NC_000913.3,-,4516741,4516763,4516752,4516708,-44,44
ECOLIBS000000880,NC_000913.3,+,4516748,4516770,4516759,4516143,616,616
ECOLIBS000000881,NC_000913.3,-,4516806,4516828,4516817,4516708,-109,109
ECOLIBS000000882,NC_000913.3,-,4518271,4518293,4518282,4518264,-18,18
ECOLIBS000000883,NC_000913.3,+,4518272,4518294,4518283,4518367,-84,84
ECOLIBS000000884,NC_000913.3,-,4518277,4518299,4518288,4518264,-24,24
ECOLIBS000000885,NC_000913.3,+,4518278,4518300,4518289,4518367,-78,78
ECOLIBS000000886,NC_000913.3,+,4518284,4518306,4518295,4518367,-72,72
ECOLIBS000000887,NC_000913.3,-,4518298,4518320,4518309,4518320,11,11
ECOLIBS000000888,NC_000913.3,+,4572194,4572216,4572205,4572161,44,44
ECOLIBS000000889,NC_000913.3,+,4572251,4572273,4572262,4572287,-25,25
ECOLIBS000000890,NC_000913.3,-,4572331,4572353,4572342,4572138,-204,204
ECOLIBS000000891,NC_000913.3,-,4605670,4605692,4605681,4605687,6,6
ECOLIBS000000892,NC_000913.3,+,4605671,4605693,4605682,4605673,9,9
ECOLIBS000000893,NC_000913.3,-,4605676,4605698,4605687,4605687,0,0
ECOLIBS000000894,NC_000913.3,+,4605677,4605699,4605688,4605673,15,15
ECOLIBS000000895,NC_000913.3,+,4605683,4605705,4605694,4605673,21,21
ECOLIBS000000896,NC_000913.3,-,4605741,4605763,4605752,4605693,-59,59
ECOLIBS000000897,NC_000913.3,+,4605742,4605764,4605753,4605776,-23,23
ECOLIBS000000898,NC_000913.3,+,4605748,4605770,4605759,4605776,-17,17
ECOLIBS000000899,NC_000913.3,-,4605758,4605780,4605769,4605693,-76,76
ECOLIBS000000900,NC_000913.3,-,4605764,4605786,4605775,4605693,-82,82
ECOLIBS000000901,NC_000913.3,+,4605765,4605787,4605776,4605776,0,0
ECOLIBS000000902,NC_000913.3,+,4605771,4605793,4605782,4605777,5,5
ECOLIBS000000903,NC_000913.3,-,4606007,4606029,4606018,4606007,-11,11
ECOLIBS000000904,NC_000913.3,+,4606008,4606030,4606019,4606016,3,3
ECOLIBS000000905,NC_000913.3,+,4606014,4606036,4606025,4606016,9,9
ECOLIBS000000906,NC_000913.3,-,4606411,4606433,4606422,4606433,11,11
ECOLIBS000000907,NC_000913.3,-,4627705,4627727,4627716,4628957,1241,1241
ECOLIBS000000908,NC_000913.3,+,4632836,4632858,4632847,4632704,143,143
ECOLIBS000000909,NC_000913.3,-,99805,99827,99816,99588,-228,228
ECOLIBS000000910,NC_000913.3,+,99806,99828,99817,99861,-44,44
ECOLIBS000000911,NC_000913.3,-,104378,104400,104389,103764,-625,625
ECOLIBS000000912,NC_000913.3,-,117493,117515,117504,117787,283,283
ECOLIBS000000913,NC_000913.3,+,117500,117522,117511,117495,16,16
ECOLIBS000000914,NC_000913.3,+,154719,154741,154730,155199,-469,469
ECOLIBS000000915,NC_000913.3,-,154724,154746,154735,154859,124,124
ECOLIBS000000916,NC_000913.3,-,154730,154752,154741,154859,118,118
ECOLIBS000000917,NC_000913.3,+,279181,279203,279192,279198,-6,6
ECOLIBS000000918,NC_000913.3,+,290276,290298,290287,290189,98,98
ECOLIBS000000919,NC_000913.3,-,296626,296648,296637,296598,-39,39
ECOLIBS000000920,NC_000913.3,+,344315,344337,344326,344339,-13,13
ECOLIBS000000921,NC_000913.3,+,344321,344343,344332,344339,-7,7
ECOLIBS000000922,NC_000913.3,-,344326,344348,344337,344002,-335,335
ECOLIBS000000923,NC_000913.3,+,344327,344349,344338,344339,-1,1
ECOLIBS000000924,NC_000913.3,+,391194,391216,391205,391286,-81,81
ECOLIBS000000925,NC_000913.3,-,391430,391452,391441,391329,-112,112
ECOLIBS000000926,NC_000913.3,+,391476,391498,391487,391413,74,74
ECOLIBS000000927,NC_000913.3,-,391526,391548,391537,391329,-208,208
ECOLIBS000000928,NC_000913.3,+,391533,391555,391544,391594,-50,50
ECOLIBS000000929,NC_000913.3,-,487442,487464,487453,486342,-1111,1111
ECOLIBS000000930,NC_000913.3,+,560265,560287,560276,560129,147,147
ECOLIBS000000931,NC_000913.3,-,560270,560292,560281,560751,470,470
ECOLIBS000000932,NC_000913.3,-,560339,560361,560350,560751,401,401
ECOLIBS000000933,NC_000913.3,+,560361,560383,560372,560533,-161,161
ECOLIBS000000934,NC_000913.3,-,572147,572169,572158,572203,45,45
ECOLIBS000000935,NC_000913.3,+,572154,572176,572165,572221,-56,56
ECOLIBS000000936,NC_000913.3,+,572160,572182,572171,572221,-50,50
ECOLIBS000000937,NC_000913.3,+,572166,572188,572177,572221,-44,44
ECOLIBS000000938,NC_000913.3,+,572196,572218,572207,572221,-14,14
ECOLIBS000000939,NC_000913.3,-,572271,572293,572282,572265,-17,17
ECOLIBS000000940,NC_000913.3,-,583131,583153,583142,583143,1,1
ECOLIBS000000941,NC_000913.3,+,583132,583154,583143,583216,-73,73
ECOLIBS000000942,NC_000913.3,-,583313,583335,583324,583143,-181,181
ECOLIBS000000943,NC_000913.3,-,583363,583385,583374,583143,-231,231
ECOLIBS000000944,NC_000913.3,-,583369,583391,583380,583143,-237,237
ECOLIBS000000945,NC_000913.3,+,583370,583392,583381,583216,165,165
ECOLIBS000000946,NC_000913.3,+,583376,583398,583387,583216,171,171
ECOLIBS000000947,NC_000913.3,-,583452,583474,583463,583143,-320,320
ECOLIBS000000948,NC_000913.3,-,583537,583559,583548,583143,-405,405
ECOLIBS000000949,NC_000913.3,-,583543,583565,583554,583143,-411,411
ECOLIBS000000950,NC_000913.3,+,583544,583566,583555,583582,-27,27
ECOLIBS000000951,NC_000913.3,+,583594,583616,583605,583597,8,8
ECOLIBS000000952,NC_000913.3,+,583606,583628,583617,583597,20,20
ECOLIBS000000953,NC_000913.3,-,583728,583750,583739,583143,-596,596
ECOLIBS000000954,NC_000913.3,-,659223,659245,659234,660153,919,919
ECOLIBS000000955,NC_000913.3,-,677293,677315,677304,677185,-119,119
ECOLIBS000000956,NC_000913.3,+,683451,683473,683462,683250,212,212
ECOLIBS000000957,NC_000913.3,+,683570,683592,683581,683250,331,331
ECOLIBS000000958,NC_000913.3,-,710708,710730,710719,710718,-1,1
ECOLIBS000000959,NC_000913.3,+,710709,710731,710720,710857,-137,137
ECOLIBS000000960,NC_000913.3,+,710869,710891,710880,710857,23,23
ECOLIBS000000961,NC_000913.3,-,710874,710896,710885,710859,-26,26
ECOLIBS000000962,NC_000913.3,+,749697,749719,749708,749745,-37,37
ECOLIBS000000963,NC_000913.3,-,754912,754934,754923,754908,-15,15
ECOLIBS000000964,NC_000913.3,+,787194,787216,787205,787716,-511,511
ECOLIBS000000965,NC_000913.3,-,816721,816743,816732,816712,-20,20
ECOLIBS000000966,NC_000913.3,+,816778,816800,816789,816827,-38,38
ECOLIBS000000967,NC_000913.3,-,831560,831582,831571,831442,-129,129
ECOLIBS000000968,NC_000913.3,+,831613,831635,831624,831438,186,186
ECOLIBS000000969,NC_000913.3,-,849061,849083,849072,849003,-69,69
ECOLIBS000000970,NC_000913.3,+,849068,849090,849079,848996,83,83
ECOLIBS000000971,NC_000913.3,+,859876,859898,859887,859887,0,0
ECOLIBS000000972,NC_000913.3,-,859881,859903,859892,860054,162,162
ECOLIBS000000973,NC_000913.3,+,859882,859904,859893,859887,6,6
ECOLIBS000000974,NC_000913.3,-,893404,893426,893415,893892,477,477
ECOLIBS000000975,NC_000913.3,-,926042,926064,926053,926048,-5,5
ECOLIBS000000976,NC_000913.3,+,926043,926065,926054,926138,-84,84
ECOLIBS000000977,NC_000913.3,-,926048,926070,926059,926048,-11,11
ECOLIBS000000978,NC_000913.3,-,926051,926073,926062,926048,-14,14
ECOLIBS000000979,NC_000913.3,-,934134,934156,934145,934284,139,139
ECOLIBS000000980,NC_000913.3,+,1008598,1008620,1008609,1008909,-300,300
ECOLIBS000000981,NC_000913.3,+,1017657,1017679,1017668,1017843,-175,175
ECOLIBS000000982,NC_000913.3,-,1017673,1017695,1017684,1017832,148,148
ECOLIBS000000983,NC_000913.3,-,1017679,1017701,1017690,1017832,142,142
ECOLIBS000000984,NC_000913.3,-,1021089,1021111,1021100,1020956,-144,144
ECOLIBS000000985,NC_000913.3,+,1117850,1117872,1117861,1118495,-634,634
ECOLIBS000000986,NC_000913.3,+,1146618,1146640,1146629,1146648,-19,19
ECOLIBS000000987,NC_000913.3,-,1162460,1162482,1162471,1162133,-338,338
ECOLIBS000000988,NC_000913.3,-,1215458,1215480,1215469,1215504,35,35
ECOLIBS000000989,NC_000913.3,+,1215459,1215481,1215470,1215464,6,6
ECOLIBS000000990,NC_000913.3,+,1217276,1217298,1217287,1217264,23,23
ECOLIBS000000991,NC_000913.3,+,1256071,1256093,1256082,1255794,288,288
ECOLIBS000000992,NC_000913.3,+,1256262,1256284,1256273,1256569,-296,296
ECOLIBS000000993,NC_000913.3,-,1256609,1256631,1256620,1256728,108,108
ECOLIBS000000994,NC_000913.3,-,1288657,1288679,1288668,1288652,-16,16
ECOLIBS000000995,NC_000913.3,-,1300928,1300950,1300939,1301145,206,206
ECOLIBS000000996,NC_000913.3,-,1300934,1300956,1300945,1301145,200,200
ECOLIBS000000997,NC_000913.3,+,1300935,1300957,1300946,1300915,31,31
ECOLIBS000000998,NC_000913.3,+,1300941,1300963,1300952,1300978,-26,26
ECOLIBS000000999,NC_000913.3,-,1302934,1302956,1302945,1303066,121,121
ECOLIBS000001000,NC_000913.3,-,1302940,1302962,1302951,1303066,115,115
ECOLIBS000001001,NC_000913.3,+,1302941,1302963,1302952,1303429,-477,477
ECOLIBS000001002,NC_000913.3,-,1316105,1316127,1316116,1316092,-24,24
ECOLIBS000001003,NC_000913.3,+,1316106,1316128,1316117,1316275,-158,158
ECOLIBS000001004,NC_000913.3,+,1319504,1319526,1319515,1319980,-465,465
ECOLIBS000001005,NC_000913.3,+,1377756,1377778,1377767,1377418,349,349
ECOLIBS000001006,NC_000913.3,+,1381829,1381851,1381840,1382242,-402,402
ECOLIBS000001007,NC_000913.3,-,1418724,1418746,1418735,1418626,-109,109
ECOLIBS000001008,NC_000913.3,+,1418725,1418747,1418736,1418646,90,90
ECOLIBS000001009,NC_000913.3,-,1418730,1418752,1418741,1418626,-115,115
ECOLIBS000001010,NC_000913.3,+,1418731,1418753,1418742,1418646,96,96
ECOLIBS000001011,NC_000913.3,-,1418736,1418758,1418747,1418626,-121,121
ECOLIBS000001012,NC_000913.3,+,1418892,1418914,1418903,1418646,257,257
ECOLIBS000001013,NC_000913.3,-,1495128,1495150,1495139,1495138,-1,1
ECOLIBS000001014,NC_000913.3,+,1526311,1526333,1526322,1526258,64,64
ECOLIBS000001015,NC_000913.3,-,1544018,1544040,1544029,1544145,116,116
ECOLIBS000001016,NC_000913.3,-,1544024,1544046,1544035,1544145,110,110
ECOLIBS000001017,NC_000913.3,+,1544025,1544047,1544036,1543540,496,496
ECOLIBS000001018,NC_000913.3,+,1544031,1544053,1544042,1543540,502,502
ECOLIBS000001019,NC_000913.3,-,1553712,1553734,1553723,1553898,175,175
ECOLIBS000001020,NC_000913.3,+,1568279,1568301,1568290,1568088,202,202
ECOLIBS000001021,NC_000913.3,-,1578827,1578849,1578838,1579348,510,510
ECOLIBS000001022,NC_000913.3,+,1591556,1591578,1591567,1592301,-734,734
ECOLIBS000001023,NC_000913.3,+,1591733,1591755,1591744,1592301,-557,557
ECOLIBS000001024,NC_000913.3,-,1616657,1616679,1616668,1616951,283,283
ECOLIBS000001025,NC_000913.3,-,1653898,1653920,1653909,1653345,-564,564
ECOLIBS000001026,NC_000913.3,+,1653899,1653921,1653910,1653914,-4,4
ECOLIBS000001027,NC_000913.3,-,1653904,1653926,1653915,1653345,-570,570
ECOLIBS000001028,NC_000913.3,+,1653911,1653933,1653922,1653928,-6,6
ECOLIBS000001029,NC_000913.3,-,1653916,1653938,1653927,1653345,-582,582
ECOLIBS000001030,NC_000913.3,+,1656738,1656760,1656749,1656913,-164,164
ECOLIBS000001031,NC_000913.3,+,1656744,1656766,1656755,1656913,-158,158
ECOLIBS000001032,NC_000913.3,-,1656749,1656771,1656760,1656745,-15,15
ECOLIBS000001033,NC_000913.3,+,1656750,1656772,1656761,1656913,-152,152
ECOLIBS000001034,NC_000913.3,+,1711736,1711758,1711747,1711753,-6,6
ECOLIBS000001035,NC_000913.3,-,1745705,1745727,1745716,1745919,203,203
ECOLIBS000001036,NC_000913.3,+,1750750,1750772,1750761,1750770,-9,9
ECOLIBS000001037,NC_000913.3,-,1750755,1750777,1750766,1750832,66,66
ECOLIBS000001038,NC_000913.3,+,1750756,1750778,1750767,1750770,-3,3
ECOLIBS000001039,NC_000913.3,-,1750957,1750979,1750968,1750832,-136,136
ECOLIBS000001040,NC_000913.3,+,1750958,1750980,1750969,1750771,198,198
ECOLIBS000001041,NC_000913.3,+,1754675,1754697,1754686,1754874,-188,188
ECOLIBS000001042,NC_000913.3,-,1754717,1754739,1754728,1754643,-85,85
ECOLIBS000001043,NC_000913.3,+,1754718,1754740,1754729,1754874,-145,145
ECOLIBS000001044,NC_000913.3,-,1754723,1754745,1754734,1754643,-91,91
ECOLIBS000001045,NC_000913.3,+,1754724,1754746,1754735,1754874,-139,139
ECOLIBS000001046,NC_000913.3,-,1754853,1754875,1754864,1755084,220,220
ECOLIBS000001047,NC_000913.3,+,1791661,1791683,1791672,1791652,20,20
ECOLIBS000001048,NC_000913.3,-,1802255,1802277,1802266,1802393,127,127
ECOLIBS000001049,NC_000913.3,+,1802262,1802284,1802273,1802306,-33,33
ECOLIBS000001050,NC_000913.3,-,1829862,1829884,1829873,1829293,-580,580
ECOLIBS000001051,NC_000913.3,+,1829863,1829885,1829874,1830127,-253,253
ECOLIBS000001052,NC_000913.3,+,1829869,1829891,1829880,1830127,-247,247
ECOLIBS000001053,NC_000913.3,-,1849740,1849762,1849751,1849838,87,87
ECOLIBS000001054,NC_000913.3,+,1849741,1849763,1849752,1850199,-447,447
ECOLIBS000001055,NC_000913.3,+,1928582,1928604,1928593,1928667,-74,74
ECOLIBS000001056,NC_000913.3,+,1936737,1936759,1936748,1936593,155,155
ECOLIBS000001057,NC_000913.3,-,1937553,1937575,1937564,1937561,-3,3
ECOLIBS000001058,NC_000913.3,+,1986675,1986697,1986686,1986698,-12,12
ECOLIBS000001059,NC_000913.3,-,2002652,2002674,2002663,2002570,-93,93
ECOLIBS000001060,NC_000913.3,+,2002653,2002675,2002664,2002707,-43,43
ECOLIBS000001061,NC_000913.3,-,2003124,2003146,2003135,2003069,-66,66
ECOLIBS000001062,NC_000913.3,-,2018072,2018094,2018083,2020063,1980,1980
ECOLIBS000001063,NC_000913.3,+,2018073,2018095,2018084,2019584,-1500,1500
ECOLIBS000001064,NC_000913.3,-,2018078,2018100,2018089,2020063,1974,1974
ECOLIBS000001065,NC_000913.3,-,2028170,2028192,2028181,2028223,42,42
ECOLIBS000001066,NC_000913.3,+,2028171,2028193,2028182,2028194,-12,12
ECOLIBS000001067,NC_000913.3,-,2044856,2044878,2044867,2044768,-99,99
ECOLIBS000001068,NC_000913.3,-,2067500,2067522,2067511,2067469,-42,42
ECOLIBS000001069,NC_000913.3,-,2067506,2067528,2067517,2067469,-48,48
ECOLIBS000001070,NC_000913.3,+,2107670,2107692,2107681,2107520,161,161
ECOLIBS000001071,NC_000913.3,-,2107777,2107799,2107788,2108030,242,242
ECOLIBS000001072,NC_000913.3,+,2107784,2107806,2107795,2107520,275,275
ECOLIBS000001073,NC_000913.3,+,2108132,2108154,2108143,2108638,-495,495
ECOLIBS000001074,NC_000913.3,-,2145618,2145640,2145629,2144891,-738,738
ECOLIBS000001075,NC_000913.3,-,2145624,2145646,2145635,2144891,-744,744
ECOLIBS000001076,NC_000913.3,-,2201965,2201987,2201976,2202273,297,297
ECOLIBS000001077,NC_000913.3,-,2201971,2201993,2201982,2202273,291,291
ECOLIBS000001078,NC_000913.3,+,2201972,2201994,2201983,2201981,2,2
ECOLIBS000001079,NC_000913.3,-,2233855,2233877,2233866,2234003,137,137
ECOLIBS000001080,NC_000913.3,+,2233862,2233884,2233873,2233973,-100,100
ECOLIBS000001081,NC_000913.3,+,2234003,2234025,2234014,2233994,20,20
ECOLIBS000001082,NC_000913.3,+,2256266,2256288,2256277,2255291,986,986
ECOLIBS000001083,NC_000913.3,-,2256271,2256293,2256282,2256231,-51,51
ECOLIBS000001084,NC_000913.3,+,2308149,2308171,2308160,2307626,534,534
ECOLIBS000001085,NC_000913.3,-,2308205,2308227,2308216,2308327,111,111
ECOLIBS000001086,NC_000913.3,+,2369138,2369160,2369149,2369128,21,21
ECOLIBS000001087,NC_000913.3,-,2379328,2379350,2379339,2379303,-36,36
ECOLIBS000001088,NC_000913.3,+,2379329,2379351,2379340,2379315,25,25
ECOLIBS000001089,NC_000913.3,-,2383772,2383794,2383783,2384957,1174,1174
ECOLIBS000001090,NC_000913.3,-,2383838,2383860,2383849,2384957,1108,1108
ECOLIBS000001091,NC_000913.3,+,2383839,2383861,2383850,2384129,-279,279
ECOLIBS000001092,NC_000913.3,+,2407120,2407142,2407131,2407103,28,28
ECOLIBS000001093,NC_000913.3,-,2443027,2443049,2443038,2443266,228,228
ECOLIBS000001094,NC_000913.3,-,2443039,2443061,2443050,2443266,216,216
ECOLIBS000001095,NC_000913.3,+,2443040,2443062,2443051,2442802,249,249
ECOLIBS000001096,NC_000913.3,-,2463579,2463601,2463590,2463446,-144,144
ECOLIBS000001097,NC_000913.3,-,2463585,2463607,2463596,2463446,-150,150
ECOLIBS000001098,NC_000913.3,+,2463661,2463683,2463672,2463602,70,70
ECOLIBS000001099,NC_000913.3,-,2470700,2470722,2470711,2470708,-3,3
ECOLIBS000001100,NC_000913.3,-,2470736,2470758,2470747,2470732,-15,15
ECOLIBS000001101,NC_000913.3,-,2483278,2483300,2483289,2483826,537,537
ECOLIBS000001102,NC_000913.3,+,2483304,2483326,2483315,2483142,173,173
ECOLIBS000001103,NC_000913.3,+,2483359,2483381,2483370,2483520,-150,150
ECOLIBS000001104,NC_000913.3,-,2591108,2591130,2591119,2591050,-69,69
ECOLIBS000001105,NC_000913.3,-,2591313,2591335,2591324,2591370,46,46
ECOLIBS000001106,NC_000913.3,+,2591314,2591336,2591325,2591337,-12,12
ECOLIBS000001107,NC_000913.3,+,2599668,2599690,2599679,2599806,-127,127
ECOLIBS000001108,NC_000913.3,+,2599698,2599720,2599709,2599806,-97,97
ECOLIBS000001109,NC_000913.3,+,2599738,2599760,2599749,2599806,-57,57
ECOLIBS000001110,NC_000913.3,+,2599824,2599846,2599835,2599808,27,27
ECOLIBS000001111,NC_000913.3,-,2650715,2650737,2650726,2650870,144,144
ECOLIBS000001112,NC_000913.3,+,2650716,2650738,2650727,2651171,-444,444
ECOLIBS000001113,NC_000913.3,+,2650869,2650891,2650880,2651171,-291,291
ECOLIBS000001114,NC_000913.3,-,2653810,2653832,2653821,2653776,-45,45
ECOLIBS000001115,NC_000913.3,+,2655399,2655421,2655410,2655783,-373,373
ECOLIBS000001116,NC_000913.3,+,2665254,2665276,2665265,2665400,-135,135
ECOLIBS000001117,NC_000913.3,+,2665260,2665282,2665271,2665400,-129,129
ECOLIBS000001118,NC_000913.3,-,2665314,2665336,2665325,2665385,60,60
ECOLIBS000001119,NC_000913.3,-,2665350,2665372,2665361,2665385,24,24
ECOLIBS000001120,NC_000913.3,-,2675771,2675793,2675782,2675326,-456,456
ECOLIBS000001121,NC_000913.3,+,2675772,2675794,2675783,2675791,-8,8
ECOLIBS000001122,NC_000913.3,-,2737797,2737819,2737808,2737562,-246,246
ECOLIBS000001123,NC_000913.3,+,2737798,2737820,2737809,2737804,5,5
ECOLIBS000001124,NC_000913.3,-,2783004,2783026,2783015,2783571,556,556
ECOLIBS000001125,NC_000913.3,-,2783010,2783032,2783021,2783571,550,550
ECOLIBS000001126,NC_000913.3,+,2783011,2783033,2783022,2782881,141,141
ECOLIBS000001127,NC_000913.3,-,2783016,2783038,2783027,2783571,544,544
ECOLIBS000001128,NC_000913.3,+,2794165,2794187,2794176,2795518,-1342,1342
ECOLIBS000001129,NC_000913.3,-,3100743,3100765,3100754,3100751,-3,3
ECOLIBS000001130,NC_000913.3,-,3257510,3257532,3257521,3258106,585,585
ECOLIBS000001131,NC_000913.3,+,3257511,3257533,3257522,3257228,294,294
ECOLIBS000001132,NC_000913.3,-,3257581,3257603,3257592,3258106,514,514
ECOLIBS000001133,NC_000913.3,-,3274921,3274943,3274932,3274998,66,66
ECOLIBS000001134,NC_000913.3,-,3274924,3274946,3274935,3274998,63,63
ECOLIBS000001135,NC_000913.3,+,3274925,3274947,3274936,3275070,-134,134
ECOLIBS000001136,NC_000913.3,-,3274927,3274949,3274938,3274998,60,60
ECOLIBS000001137,NC_000913.3,-,3274957,3274979,3274968,3274998,30,30
ECOLIBS000001138,NC_000913.3,+,3275018,3275040,3275029,3275070,-41,41
ECOLIBS000001139,NC_000913.3,+,3433649,3433671,3433660,3433658,2,2
ECOLIBS000001140,NC_000913.3,-,3455637,3455659,3455648,3455333,-315,315
ECOLIBS000001141,NC_000913.3,+,3455638,3455660,3455649,3455531,118,118
ECOLIBS000001142,NC_000913.3,-,3455671,3455693,3455682,3455333,-349,349
ECOLIBS000001143,NC_000913.3,+,3455678,3455700,3455689,3455531,158,158
ECOLIBS000001144,NC_000913.3,+,3530712,3530734,3530723,3530856,-133,133
ECOLIBS000001145,NC_000913.3,-,3568858,3568880,3568869,3568714,-155,155
ECOLIBS000001146,NC_000913.3,-,3584734,3584756,3584745,3584718,-27,27
ECOLIBS000001147,NC_000913.3,+,3584735,3584757,3584746,3584765,-19,19
ECOLIBS000001148,NC_000913.3,-,3584737,3584759,3584748,3584718,-30,30
ECOLIBS000001149,NC_000913.3,+,3584738,3584760,3584749,3584765,-16,16
ECOLIBS000001150,NC_000913.3,-,3584740,3584762,3584751,3584718,-33,33
ECOLIBS000001151,NC_000913.3,+,3584741,3584763,3584752,3584765,-13,13
ECOLIBS000001152,NC_000913.3,-,3584743,3584765,3584754,3584718,-36,36
ECOLIBS000001153,NC_000913.3,-,3584746,3584768,3584757,3584718,-39,39
ECOLIBS000001154,NC_000913.3,+,3584747,3584769,3584758,3584765,-7,7
ECOLIBS000001155,NC_000913.3,-,3584749,3584771,3584760,3584718,-42,42
ECOLIBS000001156,NC_000913.3,+,3584753,3584775,3584764,3584765,-1,1
ECOLIBS000001157,NC_000913.3,-,3584780,3584802,3584791,3584718,-73,73
ECOLIBS000001158,NC_000913.3,+,3654725,3654747,3654736,3654309,427,427
ECOLIBS000001159,NC_000913.3,-,3654827,3654849,3654838,3654842,4,4
ECOLIBS000001160,NC_000913.3,+,3654828,3654850,3654839,3654309,530,530
ECOLIBS000001161,NC_000913.3,-,3654833,3654855,3654844,3654842,-2,2
ECOLIBS000001162,NC_000913.3,-,3665349,3665371,3665360,3665219,-141,141
ECOLIBS000001163,NC_000913.3,-,3746002,3746024,3746013,3744582,-1431,1431
ECOLIBS000001164,NC_000913.3,-,3746008,3746030,3746019,3744582,-1437,1437
ECOLIBS000001165,NC_000913.3,+,3746009,3746031,3746020,3745118,902,902
ECOLIBS000001166,NC_000913.3,-,3746018,3746040,3746029,3744582,-1447,1447
ECOLIBS000001167,NC_000913.3,-,3954372,3954394,3954383,3953576,-807,807
ECOLIBS000001168,NC_000913.3,-,3971247,3971269,3971258,3971237,-21,21
ECOLIBS000001169,NC_000913.3,+,3993010,3993032,3993021,3992686,335,335
ECOLIBS000001170,NC_000913.3,-,4128521,4128543,4128532,4128533,1,1
ECOLIBS000001171,NC_000913.3,+,4128522,4128544,4128533,4128545,-12,12
